Created as New Dataset, , 
nm, A, 
430.0, 0.0766, 
429.0, 0.0773, 
428.0, 0.0764, 
427.0, 0.0758, 
426.0, 0.0744, 
425.0, 0.0762, 
424.0, 0.0754, 
423.0, 0.0760, 
422.0, 0.0764, 
421.0, 0.0748, 
420.0, 0.0751, 
419.0, 0.0755, 
418.0, 0.0751, 
417.0, 0.0749, 
416.0, 0.0749, 
415.0, 0.0742, 
414.0, 0.0745, 
413.0, 0.0750, 
412.0, 0.0754, 
411.0, 0.0761, 
410.0, 0.0756, 
409.0, 0.0774, 
408.0, 0.0780, 
407.0, 0.0793, 
406.0, 0.0811, 
405.0, 0.0838, 
404.0, 0.0855, 
403.0, 0.0886, 
402.0, 0.0921, 
401.0, 0.0978, 
400.0, 0.1026, 
399.0, 0.1094, 
398.0, 0.1161, 
397.0, 0.1218, 
396.0, 0.1304, 
395.0, 0.1389, 
394.0, 0.1486, 
393.0, 0.1587, 
392.0, 0.1699, 
391.0, 0.1832, 
390.0, 0.1982, 
389.0, 0.2134, 
388.0, 0.2300, 
387.0, 0.2504, 
386.0, 0.2718, 
385.0, 0.2922, 
384.0, 0.3188, 
383.0, 0.3494, 
382.0, 0.3837, 
381.0, 0.4210, 
380.0, 0.4622, 
379.0, 0.5080, 
378.0, 0.5582, 
377.0, 0.6138, 
376.0, 0.6694, 
375.0, 0.7139, 
374.0, 0.7480, 
373.0, 0.7708, 
372.0, 0.7767, 
371.0, 0.7630, 
370.0, 0.7311, 
369.0, 0.6891, 
368.0, 0.6418, 
367.0, 0.5960, 
366.0, 0.5550, 
365.0, 0.5194, 
364.0, 0.4914, 
363.0, 0.4689, 
362.0, 0.4533, 
361.0, 0.4421, 
360.0, 0.4353, 
359.0, 0.4348, 
358.0, 0.4386, 
357.0, 0.4472, 
356.0, 0.4608, 
355.0, 0.4813, 
354.0, 0.5032, 
353.0, 0.5256, 
352.0, 0.5429, 
351.0, 0.5527, 
350.0, 0.5575, 
349.0, 0.5556, 
348.0, 0.5473, 
347.0, 0.5352, 
346.0, 0.5201, 
345.0, 0.5034, 
344.0, 0.4853, 
343.0, 0.4674, 
342.0, 0.4510, 
341.0, 0.4340, 
340.0, 0.4166, 
339.0, 0.4022, 
338.0, 0.3898, 
337.0, 0.3786, 
336.0, 0.3691, 
335.0, 0.3616, 
334.0, 0.3565, 
333.0, 0.3514, 
332.0, 0.3477, 
331.0, 0.3469, 
330.0, 0.3480, 
329.0, 0.3499, 
328.0, 0.3526, 
327.0, 0.3551, 
326.0, 0.3577, 
325.0, 0.3622, 
324.0, 0.3664, 
323.0, 0.3726, 
322.0, 0.3807, 
321.0, 0.3903, 
320.0, 0.4024, 
319.0, 0.4179, 
318.0, 0.4396, 
317.0, 0.4614, 
316.0, 0.4849, 
315.0, 0.5082, 
314.0, 0.5299, 
313.0, 0.5533, 
312.0, 0.5796, 
311.0, 0.6075, 
310.0, 0.6368, 
309.0, 0.6688, 
308.0, 0.7038, 
307.0, 0.7423, 
306.0, 0.7831, 
305.0, 0.8235, 
304.0, 0.8633, 
303.0, 0.9054, 
302.0, 0.9494, 
301.0, 0.9906, 
300.0, 1.0302, 
299.0, 1.0687, 
298.0, 1.1092, 
297.0, 1.1506, 
296.0, 1.1902, 
295.0, 1.2298, 
294.0, 1.2706, 
293.0, 1.3029, 
292.0, 1.3307, 
291.0, 1.3576, 
290.0, 1.3750, 
289.0, 1.3854, 
288.0, 1.3881, 
287.0, 1.3841, 
286.0, 1.3754, 
285.0, 1.3669, 
284.0, 1.3640, 
283.0, 1.3571, 
282.0, 1.3504, 
281.0, 1.3495, 
280.0, 1.3494, 
279.0, 1.3479, 
278.0, 1.3406, 
277.0, 1.3297, 
276.0, 1.3126, 
275.0, 1.2960, 
274.0, 1.2864, 
273.0, 1.2860, 
272.0, 1.2851, 
271.0, 1.2810, 
270.0, 1.2768, 
269.0, 1.2700, 
268.0, 1.2656, 
267.0, 1.2661, 
266.0, 1.2706, 
265.0, 1.2819, 
264.0, 1.2951, 
263.0, 1.3156, 
262.0, 1.3350, 
261.0, 1.3517, 
260.0, 1.3751, 
259.0, 1.4039, 
258.0, 1.4317, 
257.0, 1.4634, 
256.0, 1.4995, 
255.0, 1.5332, 
254.0, 1.5638, 
253.0, 1.6005, 
252.0, 1.6319, 
251.0, 1.6745, 
250.0, 1.7156 
